experiment,epoch,split,bce,precision,recall,f1
baseline,1,train,1.0759849451717258,0.12698412698412698,1.0,0.22535211267605634
baseline,1,validation,1.070556997711752,0.12698412698412698,1.0,0.22535211267605634
baseline,10,train,0.28220493156793625,1.0,0.625,0.7692307692307693
baseline,10,validation,0.28327594632835834,1.0,0.625,0.7692307692307693
baseline,20,train,0.1604713698814596,0.7,0.875,0.7777777777777778
baseline,20,validation,0.2166079012516891,0.7,0.875,0.7777777777777778
baseline,30,train,0.11995449551216224,0.7777777777777778,0.875,0.8235294117647058
baseline,30,validation,0.2132494882816222,0.6,0.75,0.6666666666666666
baseline,40,train,0.1251818618777492,0.6666666666666666,1.0,0.8
baseline,40,validation,0.15408636790049046,0.6363636363636364,0.875,0.7368421052631579
baseline,50,train,0.08086253305930771,0.7777777777777778,0.875,0.8235294117647058
baseline,50,validation,0.08675281098244139,0.7777777777777778,0.875,0.8235294117647058
baseline,60,train,0.10384940158416578,0.7272727272727273,1.0,0.8421052631578947
baseline,60,validation,0.11607835746052786,0.7272727272727273,1.0,0.8421052631578947
baseline,70,train,0.09999910446733797,0.7272727272727273,1.0,0.8421052631578947
baseline,70,validation,0.11245065738599887,0.7272727272727273,1.0,0.8421052631578947
baseline,80,train,0.08752604259984237,0.7272727272727273,1.0,0.8421052631578947
baseline,80,validation,0.10174690020380059,0.7777777777777778,0.875,0.8235294117647058
baseline,90,train,0.07245397478603008,0.7777777777777778,0.875,0.8235294117647058
baseline,90,validation,0.08628308796748804,0.7777777777777778,0.875,0.8235294117647058
baseline,100,train,0.07779685028646362,0.7,0.875,0.7777777777777778
baseline,100,validation,0.09449332681733207,0.7777777777777778,0.875,0.8235294117647058
baseline,110,train,0.07404242086196558,0.7,0.875,0.7777777777777778
baseline,110,validation,0.09507047793353046,0.7777777777777778,0.875,0.8235294117647058
baseline,120,train,0.06579469017964634,0.7777777777777778,0.875,0.8235294117647058
baseline,120,validation,0.09272371419267918,0.75,0.75,0.75
