invoice_id,company_id,person_id,issue_date,due_date,amount,currency,service_type,status
INV0001,C0003,P0001,2026-06-01,2026-06-30,3200,USD,Software Development,Paid
INV0002,C0007,P0002,2026-06-05,2026-06-20,1500,USD,Graphic Design,Paid
INV0003,C0002,P0003,2026-06-01,2026-06-30,55000,ETB,Accounting Service,Paid
INV0004,C0004,P0004,2026-07-01,2026-07-31,2800,USD,Web Development,Paid
INV0005,C0005,P0009,2026-07-02,2026-07-30,185000,ETB,Import Service,Paid
INV0006,C0006,P0007,2026-07-01,2026-07-31,3200,USD,DevOps Consulting,Paid
INV0007,C0009,P0008,2026-07-04,2026-07-25,2100,USD,Data Consulting,Paid
INV0008,C0010,P0010,2026-07-01,2026-07-31,48000,ETB,Marketing Service,Paid
INV0009,C0003,P0001,2026-08-01,2026-08-31,3500,USD,Software Development,Pending
INV0010,C0009,P0008,2026-08-03,2026-08-25,4900,USD,Analytics Consulting,Pending
