account_id,owner_id,owner_type,institution_id,account_type,currency,opened_at,closed_at,status,average_balance,city,country
ACC0000001,P004531,Person,BNK004,Current,ETB,2025-01-16,,Active,38486,Addis Ababa,Ethiopia
ACC0000002,P063618,Person,BNK003,Fixed Deposit,ETB,2023-12-22,2025-12-18,Closed,21534,Hosaena,Ethiopia
ACC0000003,P091189,Person,BNK002,Savings,ETB,2025-02-04,,Active,7699,Debre Birhan,Ethiopia
ACC0000004,P009394,Person,BNK011,Fixed Deposit,ETB,2023-12-04,2025-08-09,Closed,35268,Addis Ababa,Ethiopia
ACC0000005,C02987,Company,BNK009,Business,GBP,2024-03-20,,Active,3498,Addis Ababa,Ethiopia
ACC0000006,P078244,Person,BNK003,Fixed Deposit,ETB,2025-05-04,,Active,40317,Hawassa,Ethiopia
ACC0000007,P074049,Person,BNK018,Mobile Money,ETB,2022-02-03,,Active,1673,Addis Ababa,Ethiopia
ACC0000008,C07597,Company,BNK014,Business,ETB,2025-04-29,,Active,7843,Hawassa,Ethiopia
ACC0000009,P002891,Person,BNK017,Current,AED,2024-02-12,,Active,5520,Dire Dawa,Ethiopia
ACC0000010,P042633,Person,BNK020,Savings,EUR,2025-06-30,,Active,25548,Addis Ababa,Ethiopia
ACC0000011,P037455,Person,BNK015,Mobile Money,ETB,2022-08-09,,Closed,7234,Addis Ababa,Ethiopia
ACC0000012,P072110,Person,BNK018,Business,ETB,2024-07-21,,Active,5026,Addis Ababa,Ethiopia
ACC0000013,P097870,Person,BNK009,Business,CHF,2022-09-23,,Closed,18575,Addis Ababa,Ethiopia
ACC0000014,P042297,Person,BNK003,Business,USD,2025-01-13,,Closed,25329,Addis Ababa,Ethiopia
ACC0000015,P003969,Person,BNK014,Savings,ETB,2022-08-24,,Closed,3985,Addis Ababa,Ethiopia
ACC0000016,P043362,Person,BNK019,Mobile Money,ETB,2025-02-23,,Closed,46809,Dessie,Ethiopia
ACC0000017,P002915,Person,BNK014,Current,ETB,2022-07-04,,Active,13978,Addis Ababa,Ethiopia
ACC0000018,C05721,Company,BNK016,Current,ETB,2022-06-17,,Active,40451,Addis Ababa,Ethiopia
ACC0000019,P087440,Person,BNK019,Current,ETB,2025-05-10,,Active,35131,Addis Ababa,Ethiopia
ACC0000020,C04267,Company,BNK014,Business,ETB,2025-11-23,,Active,7188,Addis Ababa,Ethiopia
ACC0000021,P050447,Person,BNK005,Fixed Deposit,ETB,2024-07-28,,Active,13613,Shashamane,Ethiopia
ACC0000022,P027197,Person,BNK012,Savings,ETB,2024-10-30,,Closed,14690,Addis Ababa,Ethiopia
ACC0000023,C00191,Company,BNK012,Current,ETB,2024-01-22,,Active,14246,Dire Dawa,Ethiopia
ACC0000024,P023508,Person,BNK014,Savings,ETB,2024-04-03,,Closed,13465,Sodo,Ethiopia
ACC0000025,P028992,Person,BNK001,Fixed Deposit,ETB,2022-01-08,,Active,8898,Addis Ababa,Ethiopia
ACC0000026,P075436,Person,BNK002,Fixed Deposit,ETB,2024-03-07,,Active,287,Hawassa,Ethiopia
ACC0000027,P031407,Person,BNK009,Savings,ETB,2024-04-15,,Active,46879,Gondar,Ethiopia
ACC0000028,C00459,Company,BNK015,Current,ETB,2022-11-30,,Active,60412,Dessie,Ethiopia
ACC0000029,P019354,Person,BNK009,Current,ETB,2025-07-03,,Active,8532,Addis Ababa,Ethiopia
ACC0000030,C06931,Company,BNK014,Savings,ETB,2023-05-14,,Active,10668,Bishoftu,Ethiopia
ACC0000031,P086591,Person,BNK018,Mobile Money,ETB,2025-11-28,,Active,1352,Dire Dawa,Ethiopia
ACC0000032,P062440,Person,BNK015,Business,ETB,2024-11-23,2025-08-21,Closed,88758,Nekemte,Ethiopia
ACC0000033,P042931,Person,BNK002,Business,ETB,2024-02-13,,Active,10301,Dessie,Ethiopia
ACC0000034,P003836,Person,BNK002,Current,ETB,2024-12-29,,Active,2561,Addis Ababa,Ethiopia
ACC0000035,P039815,Person,BNK001,Fixed Deposit,ETB,2022-10-03,,Active,20335,Shashamane,Ethiopia
ACC0000036,P059511,Person,BNK005,Current,EUR,2024-03-11,,Active,8385,Dire Dawa,Ethiopia
ACC0000037,P061118,Person,BNK013,Mobile Money,ETB,2024-12-15,,Active,5710,Addis Ababa,Ethiopia
ACC0000038,P044247,Person,BNK016,Mobile Money,ETB,2025-10-29,,Closed,7129,Addis Ababa,Ethiopia
ACC0000039,P084679,Person,BNK011,Fixed Deposit,ETB,2022-01-06,,Active,4981,Addis Ababa,Ethiopia
ACC0000040,P051938,Person,BNK019,Current,ETB,2024-02-04,,Active,58658,Hawassa,Ethiopia
ACC0000041,P025868,Person,BNK010,Current,ETB,2024-02-26,,Active,17456,Hosaena,Ethiopia
ACC0000042,P012468,Person,BNK004,Savings,ETB,2023-05-31,,Closed,74145,Mekelle,Ethiopia
ACC0000043,P002027,Person,BNK008,Mobile Money,ETB,2023-02-16,2024-01-19,Closed,42244,Hawassa,Ethiopia
ACC0000044,P085189,Person,BNK017,Fixed Deposit,ETB,2023-08-22,,Closed,43528,Hosaena,Ethiopia
ACC0000045,P016004,Person,BNK005,Business,EUR,2025-05-20,,Dormant,5862,Mekelle,Ethiopia
ACC0000046,C07803,Company,BNK017,Mobile Money,ETB,2024-06-22,,Active,34121,Arba Minch,Ethiopia
ACC0000047,C04941,Company,BNK011,Savings,ETB,2022-08-13,,Active,2988,Bahir Dar,Ethiopia
ACC0000048,P025468,Person,BNK011,Business,ETB,2024-12-10,,Active,51971,Addis Ababa,Ethiopia
ACC0000049,C05883,Company,BNK014,Savings,ETB,2025-06-02,,Active,4883,Adama,Ethiopia
ACC0000050,P095265,Person,BNK020,Current,ETB,2025-06-28,,Active,5177,Dessie,Ethiopia
ACC0000051,P022211,Person,BNK020,Mobile Money,ETB,2025-06-02,,Active,1549,Mekelle,Ethiopia
ACC0000052,P006730,Person,BNK007,Savings,ETB,2025-04-26,,Active,48880,Bishoftu,Ethiopia
ACC0000053,P090295,Person,BNK014,Current,ETB,2024-09-08,,Active,3314,Shashamane,Ethiopia
ACC0000054,C00684,Company,BNK003,Mobile Money,ETB,2024-07-13,,Dormant,13765,Dessie,Ethiopia
ACC0000055,P012799,Person,BNK012,Mobile Money,ETB,2024-06-30,,Dormant,7827,Dessie,Ethiopia
ACC0000056,C02987,Company,BNK015,Savings,ETB,2023-02-08,,Active,12087,Bahir Dar,Ethiopia
ACC0000057,P016137,Person,BNK005,Savings,ETB,2022-10-07,,Active,8928,Addis Ababa,Ethiopia
ACC0000058,P094293,Person,BNK012,Mobile Money,ETB,2025-06-16,,Active,10417,Adama,Ethiopia
ACC0000059,P028600,Person,BNK010,Fixed Deposit,ETB,2023-09-05,,Active,37645,Shashamane,Ethiopia
ACC0000060,P038017,Person,BNK018,Business,ETB,2024-02-13,,Active,1058,Dessie,Ethiopia
ACC0000061,P023830,Person,BNK002,Current,ETB,2025-07-20,,Closed,5703,Hawassa,Ethiopia
ACC0000062,C09176,Company,BNK013,Current,ETB,2023-11-03,,Active,11101,Addis Ababa,Ethiopia
ACC0000063,P088309,Person,BNK009,Fixed Deposit,ETB,2023-12-05,,Active,15523,Mekelle,Ethiopia
ACC0000064,P097126,Person,BNK018,Mobile Money,ETB,2022-04-15,,Active,31810,Gondar,Ethiopia
ACC0000065,P095868,Person,BNK003,Savings,GBP,2024-03-14,,Active,17987,Asella,Ethiopia
ACC0000066,P046197,Person,BNK018,Business,ETB,2023-05-06,,Closed,3728,Bahir Dar,Ethiopia
ACC0000067,C09177,Company,BNK007,Business,ETB,2025-03-25,,Active,5025,Gondar,Ethiopia
ACC0000068,P056150,Person,BNK012,Savings,ETB,2023-07-04,,Closed,14777,Jimma,Ethiopia
ACC0000069,P069553,Person,BNK005,Business,ETB,2025-06-24,,Active,30613,Bahir Dar,Ethiopia
ACC0000070,C04583,Company,BNK005,Business,ETB,2023-05-02,,Frozen,15612,Shashamane,Ethiopia
ACC0000071,P027787,Person,BNK019,Fixed Deposit,ETB,2025-09-10,,Closed,39754,Bishoftu,Ethiopia
ACC0000072,P040929,Person,BNK009,Current,ETB,2024-07-05,,Dormant,8945,Addis Ababa,Ethiopia
ACC0000073,C00159,Company,BNK016,Savings,ETB,2025-10-21,,Closed,24118,Dire Dawa,Ethiopia
ACC0000074,P016459,Person,BNK002,Current,AED,2024-01-29,,Active,12173,Shashamane,Ethiopia
ACC0000075,P005658,Person,BNK001,Savings,ETB,2025-05-14,2025-09-03,Closed,41298,Adama,Ethiopia
ACC0000076,P050083,Person,BNK005,Fixed Deposit,ETB,2023-10-23,,Active,10463,Addis Ababa,Ethiopia
ACC0000077,P025849,Person,BNK014,Mobile Money,ETB,2024-06-05,,Closed,10372,Bahir Dar,Ethiopia
ACC0000078,P090213,Person,BNK001,Fixed Deposit,ETB,2023-12-21,,Closed,9463,Addis Ababa,Ethiopia
ACC0000079,P059586,Person,BNK020,Fixed Deposit,ETB,2025-08-06,2025-10-17,Closed,7039,Addis Ababa,Ethiopia
ACC0000080,P074235,Person,BNK018,Business,ETB,2022-11-23,,Active,37907,Dessie,Ethiopia
ACC0000081,P050870,Person,BNK003,Business,ETB,2025-07-24,,Active,40974,Addis Ababa,Ethiopia
ACC0000082,C07497,Company,BNK013,Current,ETB,2023-07-03,,Closed,4429,Bahir Dar,Ethiopia
ACC0000083,C03219,Company,BNK019,Current,ETB,2023-08-06,,Active,12368,Bahir Dar,Ethiopia
ACC0000084,C00601,Company,BNK010,Business,ETB,2023-03-01,2025-12-07,Closed,35698,Addis Ababa,Ethiopia
ACC0000085,C00575,Company,BNK010,Savings,ETB,2024-07-19,,Closed,3463,Addis Ababa,Ethiopia
ACC0000086,C09802,Company,BNK007,Business,GBP,2025-10-03,,Closed,10956,Harar,Ethiopia
ACC0000087,P019326,Person,BNK018,Savings,ETB,2022-04-09,,Closed,56900,Jimma,Ethiopia
ACC0000088,C04528,Company,BNK013,Current,ETB,2023-04-27,,Active,26533,Adama,Ethiopia
ACC0000089,P021146,Person,BNK011,Fixed Deposit,CHF,2024-09-25,,Dormant,12276,Addis Ababa,Ethiopia
ACC0000090,P035442,Person,BNK007,Fixed Deposit,EUR,2022-05-08,,Active,26211,Dessie,Ethiopia
ACC0000091,P018435,Person,BNK007,Business,ETB,2024-04-18,,Active,2451,Adama,Ethiopia
ACC0000092,P054715,Person,BNK012,Mobile Money,ETB,2024-08-15,,Closed,1103,Addis Ababa,Ethiopia
ACC0000093,P024746,Person,BNK011,Business,ETB,2023-09-16,2023-10-16,Closed,43242,Addis Ababa,Ethiopia
ACC0000094,C04825,Company,BNK012,Mobile Money,ETB,2022-07-14,,Closed,11662,Addis Ababa,Ethiopia
ACC0000095,P020518,Person,BNK020,Savings,ETB,2024-08-04,,Active,10380,Hosaena,Ethiopia
ACC0000096,P004755,Person,BNK002,Fixed Deposit,ETB,2023-08-11,,Active,324943,Jijiga,Ethiopia
