device_id,device_type,os,browser,device_fingerprint,first_seen,last_seen,city,country
DEV0000001,Tablet,iPadOS,Edge,b8896d83b79850760e0e32fe47b0f421,2024-01-16T10:39:52.483529,2025-07-27T02:31:34.247734,Shashamane,Ethiopia
DEV0000002,Desktop,macOS,Edge,50cc58baebca70163a466f9a7f8546dc,2024-07-05T17:31:55.149550,2025-10-05T23:04:51.192797,Adama,Ethiopia
DEV0000003,Desktop,macOS,Edge,9496748481dc86b8d8cc6fb5408330ee,2025-03-31T00:37:10.585098,2025-11-24T19:40:38.870462,Mekelle,Ethiopia
DEV0000004,Tablet,iPadOS,Chrome,3914fdc21f26206880cc9588f6a893b8,2024-10-23T01:46:44.825063,2024-11-11T05:50:59.230292,Addis Ababa,Ethiopia
DEV0000005,Desktop,macOS,,8a0c4407b05b43d87bbf982addf72071,2022-06-05T09:48:13.388118,2022-11-16T02:47:07.465374,Addis Ababa,Ethiopia
DEV0000006,Desktop,macOS,Firefox,58cf08fbffc9699451ffe707f088566a,2024-02-03T22:29:46.757023,2025-12-04T09:27:02.556557,Jimma,Ethiopia
DEV0000007,Mobile,Android,Chrome,5d817b664ad8a1f5422cfe2ca8eb5a37,2022-07-01T15:32:01.506709,2025-12-22T09:30:23.077437,Addis Ababa,Ethiopia
DEV0000008,Mobile,iOS,Opera,4ec0c94761340c896a02c60946d1fc69,2025-11-25T03:01:18.927996,2025-12-21T19:08:28.939801,Addis Ababa,Ethiopia
DEV0000009,Desktop,macOS,Opera,b0c63c12d0a0225449319d2426fe13d3,2023-07-02T18:50:37.045016,2025-09-08T04:46:16.830735,Mekelle,Ethiopia
DEV0000010,Mobile,Android,Safari,812f983e9d6e358e7cdac98006975881,2024-02-14T16:34:55.783798,2024-05-21T15:02:18.343442,Bahir Dar,Ethiopia
DEV0000011,Mobile,Android,Samsung Internet,9325b0cd00408071d934f79f6f994be1,2024-09-15T20:09:53.355287,2024-11-08T17:14:28.191541,Shashamane,Ethiopia
DEV0000012,Laptop,Windows,Edge,46192ca9b312a07c9e0d69f349de8f6d,2023-03-10T09:37:34.740018,2023-05-27T16:25:06.484494,Bahir Dar,Ethiopia
DEV0000013,Mobile,iOS,Firefox,c5ab95afa8a8c347b5b98dd135e78ea9,2022-12-25T21:40:39.833265,2025-05-13T10:58:18.629944,Gondar,Ethiopia
DEV0000014,Mobile,Android,Edge,dde8cb3068b5c6b929eb074e69e88228,2022-08-22T01:56:15.074429,2023-09-05T22:23:22.915688,Jijiga,Ethiopia
DEV0000015,Laptop,Ubuntu,Opera,ddf5585a3939c73707c4c70bf4808d8d,2022-12-27T17:03:51.287015,2024-05-03T06:25:52.309710,Hosaena,Ethiopia
DEV0000016,Mobile,Android,Firefox,1994a403fa2949c4a3ddc22f3b1bc984,2022-01-01T01:54:00.738403,2023-08-04T10:36:30.629791,Bahir Dar,Ethiopia
DEV0000017,Mobile,Android,Opera,78b28051838db9c2007ad974efb080cb,2025-05-12T19:09:45.251992,2025-06-26T21:26:31.256174,Harar,Ethiopia
DEV0000018,Laptop,macOS,Edge,9b78ad295cb92f89bb8ccd872f9c765c,2023-10-20T08:59:03.596425,2024-11-05T14:25:55.581033,Addis Ababa,Ethiopia
DEV0000019,Laptop,Ubuntu,Firefox,8e6a9805cc10e7e69a9e8f39a07007a5,2024-04-13T22:35:41.206431,2024-07-09T18:24:16.687928,Jimma,Ethiopia
DEV0000020,Mobile,Android,Firefox,f36e065a18ff55fd3b09a7718482c1c9,2024-11-28T16:00:39.814825,2025-06-14T11:57:26.063307,Addis Ababa,Ethiopia
DEV0000021,Mobile,Android,Safari,c45bce7ae14b3cd5f00643895d68baf5,2022-11-25T20:14:36.940269,2025-10-23T04:31:23.329079,Gondar,Ethiopia
