ground_truth_id,entity_type,entity_id,behavior_type,risk_pattern,is_anomalous,severity,pattern_start,pattern_end,related_entity_ids
GT00001,Person,P011051,shell_company,AML_MEDIUM,true,critical,2023-07-27,,TX00009838|TX00008927|TX00000204|TX00007189|P001646|TX00004586|P004937|TX00000133
GT00002,Account,ACC0022415,smurfing,AML_MEDIUM,true,low,2022-03-28,2022-07-21,P000780|TX00003511|P004003|TX00004504|TX00008526|P002429|TX00000282
GT00003,Person,P087593,normal,NORMAL,false,info,2022-07-26,2022-09-06,TX00008717|TX00005902|TX00002664|TX00000491|TX00003020|TX00001514|TX00005135
GT00004,Account,ACC0108264,shell_company,FRAUD_MEDIUM,true,low,2025-09-21,,TX00005229|TX00003682|TX00007548|TX00000827|TX00004375|TX00008544
GT00005,Account,ACC0008471,layering,AML_HIGH,true,low,2025-01-23,2025-04-17,TX00003001|TX00008124|TX00002640|TX00009299|TX00006961|TX00006366|TX00005637|P000259
GT00006,Account,ACC0120027,structuring,AML_MEDIUM,true,medium,2025-12-25,2026-01-01,P001303|TX00007899|P002906|P003846|TX00004446
GT00007,Company,C07994,layering,FRAUD_MEDIUM,true,low,2024-08-14,,TX00009314|P001535|TX00007677|TX00001858
GT00008,Account,ACC0118991,smurfing,FRAUD_MEDIUM,true,critical,2025-07-21,,TX00009094|TX00009391|TX00006379|P003809|TX00006366|P003023|TX00001316|TX00008987
GT00009,Account,ACC0046590,smurfing,FRAUD_HIGH,true,critical,2025-12-16,2026-01-01,P002368|TX00009578|TX00006366|TX00002173|TX00002548|TX00007534
GT00010,Account,ACC0030727,round_tripping,AML_LOW,true,high,2022-11-15,2023-05-08,TX00002394|TX00005785|P003972|P002763|P004479|P002278|P001390
GT00011,Person,P074719,false_invoice,FRAUD_MEDIUM,true,high,2024-08-26,,TX00002280|P003528|TX00007844|TX00007152
GT00012,Person,P069251,structuring,AML_LOW,true,critical,2023-10-02,,TX00005724|P000050|P003020|P002265|P003407
GT00013,Person,P055295,false_invoice,FRAUD_MEDIUM,true,critical,2022-05-19,2022-07-03,TX00000551|TX00009993|TX00004628
GT00014,Account,ACC0090528,normal,NORMAL,false,info,2022-01-30,2022-07-19,P001541|TX00007533|TX00008524|P000811|TX00006969
GT00015,Account,ACC0003595,round_tripping,AML_MEDIUM,true,high,2023-10-24,2023-12-27,TX00000921|TX00008648|P001624|P001955|P004200|TX00002934|TX00002178|TX00006019
GT00016,Account,ACC0136052,false_invoice,AML_HIGH,true,low,2024-09-21,,TX00001882|TX00009390|TX00003075|TX00002709|P004386|TX00007979
GT00017,Person,P001296,smurfing,FRAUD_MEDIUM,true,high,2022-10-31,,TX00003189|TX00007821|TX00005486|TX00006495|TX00000075
GT00018,Account,ACC0034019,false_invoice,AML_LOW,true,high,2023-02-14,,TX00003418|TX00004788
GT00019,Account,ACC0054292,rapid_movement,AML_LOW,true,high,2024-10-19,,TX00008191|TX00007294|P001047|P003672|P003401
GT00020,Person,P034497,normal,NORMAL,false,info,2024-11-06,2024-11-15,TX00009707|TX00008998|TX00001647|TX00006437|TX00009499|TX00005871|TX00002734
GT00021,Person,P022035,smurfing,FRAUD_MEDIUM,true,low,2022-01-26,2022-07-18,P000253|TX00000576|P001405|TX00001753|P002059
GT00022,Account,ACC0049426,round_tripping,FRAUD_MEDIUM,true,high,2023-08-03,,TX00005156|P001607|P003923
GT00023,Account,ACC0132350,layering,FRAUD_HIGH,true,critical,2022-01-24,,TX00005229|P003492|P001058|TX00005280|P004766
GT00024,Account,ACC0140842,structuring,FRAUD_HIGH,true,medium,2022-02-03,,P000778|TX00001635|P003945|P000853|P000701|P002133|TX00006299
GT00025,Person,P097839,round_tripping,AML_HIGH,true,low,2024-10-20,2025-04-03,TX00006021|TX00003207|TX00004882|TX00005909|P000753|P004704|P002008
GT00026,Account,ACC0027073,false_invoice,AML_LOW,true,critical,2023-03-28,,P000230|TX00001711|TX00004743|TX00003763|P003213|TX00005799
