invoice_id,issuer_id,issuer_type,recipient_id,recipient_type,issue_date,due_date,amount,currency,service_type,status
INV0000001,P055289,Person,P099617,Person,2022-11-17,2022-11-30,13317,ETB,Consulting,Paid
INV0000002,C02744,Company,P084294,Person,2024-07-08,2024-09-20,22824,ETB,Maintenance,Overdue
INV0000003,P062935,Person,P054907,Person,2024-01-23,2024-04-04,43977,ETB,Consulting,Paid
INV0000004,P085020,Person,C02424,Company,2022-06-03,2022-06-30,263275,ETB,Export Fee,Pending
INV0000005,C06028,Company,P000778,Person,2022-12-14,2023-01-05,26714,ETB,Software Development,Paid
INV0000006,P055126,Person,P035950,Person,2022-03-23,2022-06-17,10768,GBP,Maintenance,Paid
INV0000007,C06571,Company,C09076,Company,2025-05-17,2025-07-04,85460,ETB,Professional Services,Paid
INV0000008,P028536,Person,P085236,Person,2024-03-07,2024-04-15,4597,ETB,Logistics,Paid
INV0000009,P050064,Person,P049639,Person,2023-05-28,2023-08-22,17020,ETB,Equipment Supply,Paid
INV0000010,P053248,Person,C07358,Company,2024-04-22,2024-05-22,201460,ETB,Consulting,Paid
INV0000011,P053312,Person,P074546,Person,2023-12-21,2024-02-17,1107,ETB,Subscription,Overdue
INV0000012,P044164,Person,P042422,Person,2024-09-30,2024-12-18,15646,AED,Training,Paid
INV0000013,P008882,Person,P041296,Person,2024-09-15,2024-10-23,1821,ETB,Maintenance,Paid
INV0000014,P029468,Person,P038327,Person,2025-09-22,2025-11-12,13621,ETB,Professional Services,Paid
INV0000015,P086729,Person,P074357,Person,2022-06-27,2022-07-31,32004,ETB,Export Fee,Paid
INV0000016,P068022,Person,P036828,Person,2025-08-12,2025-11-09,29515,ETB,Export Fee,Paid
INV0000017,P077067,Person,P036645,Person,2024-05-13,2024-07-08,31778,ETB,Subscription,Pending
INV0000018,C01734,Company,P038392,Person,2023-05-04,2023-05-21,12251,ETB,Software Development,Paid
INV0000019,P031258,Person,P038880,Person,2023-10-14,2023-12-21,34194,ETB,Professional Services,Paid
INV0000020,P021476,Person,P093774,Person,2023-06-27,2023-09-05,14049,ETB,Training,Paid
INV0000021,P065352,Person,P064307,Person,2025-12-30,2026-01-25,114415,ETB,Subscription,Paid
INV0000022,P096656,Person,P011815,Person,2022-07-05,2022-09-14,5099,ETB,Logistics,Paid
INV0000023,P061429,Person,P019695,Person,2024-02-13,2024-03-09,5984,ETB,Export Fee,Paid
INV0000024,P076249,Person,P058140,Person,2022-10-03,2022-12-31,41404,USD,Maintenance,Paid
INV0000025,P035250,Person,P084906,Person,2024-06-14,2024-08-24,32170,ETB,Export Fee,Paid
INV0000026,P045801,Person,C07574,Company,2022-05-18,2022-07-26,30909,ETB,Equipment Supply,Paid
