relationship_id,source_type,source_id,relationship_type,target_type,target_id,start_time,end_time,confidence
REL0000001,Person,P033802,guarantor,Company,C00802,2024-01-21T15:54:08.322386,,0.7567
REL0000002,Account,ACC0113250,employer_employee,Account,ACC0114411,2024-02-11T08:51:24.095226,,0.4474
REL0000003,Account,ACC0100486,family,Person,P027320,2023-11-26T11:03:52.273624,,0.4258
REL0000004,Account,ACC0095155,guarantor,Person,P090706,2024-11-03T06:52:37.386689,,0.5134
REL0000005,Person,P088810,counterpart,Person,P005413,2024-08-02T12:18:17.796373,,0.5667
REL0000006,Person,P061891,supplier_customer,Account,ACC0073459,2022-08-12T22:57:28.430699,,0.5443
REL0000007,Person,P001119,family,Account,ACC0137464,2023-11-09T15:58:11.545795,,0.899
REL0000008,Person,P080724,supplier_customer,Account,ACC0125666,2023-09-10T00:14:35.462242,2025-01-19T13:16:08.618639,0.7244
REL0000009,Account,ACC0065799,family,Person,P073381,2023-05-12T15:38:20.295491,2025-12-21T04:33:57.154150,0.318
REL0000010,Account,ACC0024487,guarantor,Person,P099489,2022-09-28T05:07:15.517616,,0.9702
REL0000011,Person,P064780,referral,Account,ACC0045428,2025-10-11T15:00:18.584560,,0.3083
REL0000012,Account,ACC0130673,shared_device,Person,P033638,2023-08-23T08:59:32.527138,,0.7829
REL0000013,Account,ACC0029181,business_partner,Account,ACC0040905,2024-10-25T18:41:00.931491,2025-08-10T16:29:09.778250,0.709
REL0000014,Person,P067913,counterpart,Person,P016639,2022-11-21T04:43:52.659192,,0.3475
REL0000015,Person,P068223,employer_employee,Person,P024122,2023-10-29T16:33:38.220317,,0.9902
REL0000016,Account,ACC0142984,family,Account,ACC0008246,2024-01-01T22:16:38.341863,,0.5701
REL0000017,Person,P000582,family,Account,ACC0122282,2023-05-06T19:03:42.684639,,0.7895
REL0000018,Person,P063543,shared_address,Person,P084744,2024-08-28T01:59:08.356719,,0.4722
REL0000019,Account,ACC0079851,supplier_customer,Account,ACC0078823,2025-09-12T01:59:56.912680,,0.3285
REL0000020,Person,P086488,family,Account,ACC0030391,2023-04-20T09:29:39.877737,,0.6181
REL0000021,Account,ACC0086886,family,Account,ACC0094219,2023-09-04T07:13:29.625923,,0.8654
REL0000022,Account,ACC0128138,guarantor,Account,ACC0116513,2025-05-22T11:13:12.471667,,0.8235
